"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00076410","1894-04-12","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   15",",,6,",,,,,"   44",",,6","    6",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-13","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  111",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-14","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  150",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-15","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  172",",,6","    0",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-16","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  206",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-17","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  178",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-18","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  167",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-19","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  211",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-20","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  228",",,6","  111",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-21","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  206",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-22","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   30",",,6,",,,,,"  156",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-23","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   13",",,6,",,,,,"  161",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-24","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  144",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-25","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  178",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-26","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  217",",,6","   39",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-27","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  244",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-28","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  256",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-29","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  233",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-04-30","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  211",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-01","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  261",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-02","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  300",",,6","  133",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-03","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  239",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-04","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   18",",,6,",,,,,"  206",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-05","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  200",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-06","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  147",",,6,",,,,,"  256",",,6","  139",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-07","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  269",",,6,",,,,,"  256",",,6","  150",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-08","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  267",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-09","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  233",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-10","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  233",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-11","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  228",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-12","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  239",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-13","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  278",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-14","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  217",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-15","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   13",",,6,",,,,,"  211",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-16","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  211",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-17","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   64",",,6,",,,,,"  206",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-18","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  261",",,6","  150",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-19","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  122",",,6,",,,,,"  256",",,6","  178",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-20","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  612",",,6,",,,,,"  194",",,6","  150",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00076410","1894-05-21","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US"," 1102",",,6,",,,,,"  150",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00076410","1894-05-22","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  135",",,6,",,,,,"  144",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-23","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   79",",,6,",,,,,"  161",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-24","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  434",",,6,",,,,,"  172",",,6","  133",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-25","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  183",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-26","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   91",",,6,",,,,,"  228",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-27","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  261",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-28","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   66",",,6,",,,,,"  250",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-29","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  189",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-30","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  189",",,6","   83",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-05-31","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   66",",,6,",,,,,"  189",",,6","  139",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-01","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  183",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00076410","1894-06-02","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  217",",,6","  111",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-03","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  267",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-04","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  306",",,6","  156",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-05","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  307",",,6,",,,,,"  200",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-06","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  145",",,6,",,,,,"  172",",,6","   89",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-07","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    5",",,6,",,,,,"  183",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-08","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   13",",,6,",,,,,"  211",",,6","   78",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-09","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  256",",,6","  128",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-10","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  289",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-11","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   10",",,6,",,,,,"  311",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-12","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   38",",,6,",,,,,"  306",",,6","  189",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-13","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  211",",,6","  150",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-14","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  244",",,6","  117",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-15","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  244",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-16","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  278",",,6","  133",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-17","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  311",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-18","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  311",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-19","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  272",",,6","  222",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-20","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  300",",,6","  194",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-21","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   53",",,6,",,,,,"  306",",,6","  189",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-22","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  328",",,6","  172",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-23","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  344",",,6","  189",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-24","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  178",",,6,",,,,,"  356",",,6","  200",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-25","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  300",",,6","  178",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-26","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  124",",,6,",,,,,"  306",",,6","  217",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-27","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  283",",,6","  217",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-28","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  294",",,6","  206",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-29","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  317",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-06-30","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  311",",,6","  206",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-01","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  317",",,6","  178",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-02","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   15",",,6,",,,,,"  300",",,6","  211",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-03","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  311",",,6","  206",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-04","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   81",",,6,",,,,,"  267",",,6","  161",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-05","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  244",",,6","  156",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-06","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  278",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-07","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  289",",,6","  144",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-08","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  317",",,6","  211",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-09","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   20",",,6,",,,,,"  306",",,6","  239",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-10","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    3",",,6,",,,,,"  278",",,6","  167",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-11","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  272",",,6","  122",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-12","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  175",",,6,",,,,,"  244",",,6","  156",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-13","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  239",",,6","  161",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-14","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  278",",,6","  167",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-15","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  140",",,6,",,,,,"  294",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-16","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  244",",,6","  161",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-17","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  222",",,6","  144",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-18","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","  554",",,6,",,,,,"  228",",,6","  189",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-19","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  294",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-20","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","   89",",,6,",,,,,"  244",",,6","  183",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-21","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  222",",,6","  139",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,,,,,,,
"USC00076410","1894-08-22","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  250",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-23","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  283",",,6","  139",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00076410","1894-08-24","39.6682","-75.74569","32.3","NEWARK AG FARM, DE US","    0","P,,6,",,,,,"  278",",,6","  139",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
